res,occ
75,kindermeid
75,kindermeid
qualitative,keukenmeid
ƒloo,boekhandelaar
ƒloo,meid
no wage indication,keukenmeid
100,huiswerk
100,fetuigen
ƒ2,schoonmaakster
no wage indication,grossier
no wage indication,dienstbode
qualitative,dienstbode
ƒl5o,keukenmeid
qualitative,dienstbode
no wage indication,apotheek
duizend,gezel
no wage indication,commissionair
90,volontair
qualitative,steendrukkerij
ƒ95,boekhandelaar
90,huiswerk
qualitative,steendrukkerij
no wage indication,werkster
no wage indication,gezel
hondertwintig,makelaars
hondertwintig,dienstbode
no wage indication,winkelier
no wage indication,dienstbode
5,oppasser
qualitative,werkmeid
ƒloo,keukenmeid
ƒloo,huiswerk
100,boekhandelaar
100,brouwer
100,leerling
100,keukenmeid
100,boekhandelaar
100,boekhandelaar
100,koper
100,heer
ƒloo,reiziger
ƒloo,keukenmeid
ƒloo,huiswerk
ƒloo,reiziger
90,dienstbode
90,huiswerk
qualitative,conservator
qualitative,leiden
no wage indication,opzichter
no wage indication,boekhandelaar
100,heer
100,heer
no wage indication,burgemeester
ƒl3o,dienstbode
qualitative,boekhandelaar
qualitative,dienstbode
100,meid
qualitative,boekhandelaar
qualitative,boekhandelaar
qualitative,boekhandelaar
qualitative,boekhandelaar
qualitative,hoofd
qualitative,dienstbode
qualitative,dienstbode
no wage indication,noodhulp
qualitative,kindermeid
3,werkmeid
3,barbiersbediende
3,dienst
no wage indication,boekhandelaar
no wage indication,dienstbode
no wage indication,noodhulp
no wage indication,noodhulp
no wage indication,makelaar
qualitative,boekhandelaar
qualitative,papierhandelaar
qualitative,winkelbediende
qualitative,papierhandelaar
qualitative,kunsthandelaar
qualitative,dienstbode
qualitative,dienstbode
no wage indication,referentie
ƒl3o,keukenmeid
qualitative,keukenmeid
qualitative,werkmeid
100,keukenmeid
qualitative,hoofdonderwijzer
qualitative,keukenmeid
qualitative,werkmeid
qualitative,keukenmeid
qualitative,werkmeid
no wage indication,boekhandelaar
100,meid
qualitative,boekhandelaar
qualitative,keukenmeid
3,administratie
qualitative,werkmeid
130,linnenmeid
130,linnenmeid
qualitative,kindermeid
qualitative,keukenmeid
qualitative,meid
qualitative,werkmeid
qualitative,werkmeid
qualitative,kamer
1,huiswerk
80,dienstbode
no wage indication,hooger
no wage indication,maar
qualitative,keukenmeid
qualitative,meid
qualitative,werkmeid
no wage indication,leerling
ioo,dienstbode
ƒ9o,dienst
100,keukenmeid
100,werkmeid
150,buffetjuffrouw
150,dienst
150,keukenmeid
150,keukenmeid
150,keukenmeid
no wage indication,hooger
no wage indication,keukenmeid
qualitative,uiswerk
qualitative,grossier
150,keukenmeid
250,loopjongen
100,keukenmeid
100,huiswerk
ƒ,kunsthandelaar
90,werkster
negen,knecht
negen,knecht
no wage indication,hooger
qualitative,modiste
qualitative,modiste
no wage indication,maar
no wage indication,dienstbode
100,boekhandelaar
100,werkmeid
ƒ,meid
qualitative,dienstbode
qualitative,koster
qualitative,werkmeid
100,dienstbode
no wage indication,knecht
no wage indication,dienstbode
no wage indication,meid
no wage indication,architect
no wage indication,werker
no wage indication,hooger
no wage indication,expediteur
150,hoofd
150,keukenmeid
150,keukenmeid
m5l,confectie
m5l,keukenmeid
m5l,boekhandelaar
m5l,boekhandelaar
120,keukenmeid
qualitative,juwelier
no wage indication,boekhandelaar
no wage indication,bediende
qualitative,buffetjuffrouw
no wage indication,dienst
90,besteedster
ƒ,werkmeid
ƒ,werkmeid
150,boekhandelaar
150,keukenmeid
150,boekhandelaar
120,keukenmeid
ƒ,dienstbode
ƒ,dienst
ƒ,schrijver
no wage indication,meid
no wage indication,dienstbode
ƒ95,keukenmeid
qualitative,werkmeid
no wage indication,barbiersbediende
100,boekhandelaar
100,huiswerk
qualitative,boekhandelaar
ƒ9o,dienstbode
ƒ9o,huiswerk
ƒ9o,keukenmeid
ƒ9o,huiswerk
qualitative,expediteur
90,dienst
qualitative,keukenmeid
no wage indication,onderwijzer
ƒ9o,dienst
ƒ9o,dienstbode
80,dienstbode
ƒloo,boekhandelaar
80,dienstbode
ƒloo,boekhandelaar
80,dienstbode
ƒloo,boekhandelaar
ƒloo,boekhandelaar
honderd,bierhandelaar
honderd,dienstbode
no wage indication,heer
