1850,1855,1860,1865,1870,1875,1880,1884
goed_loon,goed_loon,goed_loon,hoog_loon,hoog_loon,hoog_loon,hoog_loon,hoog_loon
naar_bekwaamheid,naar_bekwaamheid,naar_bekwaamheid,goed_loon,goed_loon,naar_bekwaamheid,naar_bekwaamheid,hoog_salaris
billijk_salaris,ruim_salaris,ruim_salaris,naar_bekwaamheid,naar_bekwaamheid,goed_loon,hoog_salaris,naar_bekwaamheid
goed_salaris,billijk_salaris,hoog_loon,hoog_salaris,hoog_salaris,hoog_salaris,goed_loon,goed_loon
behoorlijk_salaris,naar_bekwaamheden,naar_bekwaamheden,ruim_salaris,goed_salaris,goed_salaris,goed_salaris,goed_salaris
ruim_salaris,goed_salaris,goed_salaris,goed_salaris,zonder_salaris,ruim_salaris,ruim_salaris,zonder_salaris
naar_bekwaamheden,behoorlijk_salaris,hoog_salaris,naar_bekwaamheden,naar_bekwaamheden,naar_bekwaamheden,flink_salaris,vast_salaris
zonder_salaris,hoog_salaris,billijk_salaris,zonder_salaris,ruim_salaris,vast_salaris,flink_loon,ruim_salaris
hoog_salaris,zonder_salaris,behoorlijk_salaris,ruim_loon,behoorlijk_salaris,zonder_salaris,zonder_salaris,flink_salaris
billijk_loon,hoog_loon,zonder_salaris,behoorlijk_salaris,billijk_salaris,boog_loon,vast_salaris,flink_loon
