occupation,year,num_observations,share_with_results
kector,1850,2,50.0
hoefd,1850,2,0.0
militair,1850,6,33.333
brouwer,1850,2,0.0
modewerkster,1850,2,0.0
kamenier,1850,22,22.727
expeditie,1850,10,20.0
koker,1850,94,34.043
zilversmid,1850,2,50.0
kindermeisje,1850,2,50.0
boekdrukker,1850,34,32.353
loopmeisje,1850,4,25.0
korenmolenaar,1850,2,50.0
witter,1850,14,42.857
broeder,1850,8,25.0
zeilmakersknecht,1850,2,0.0
porder,1850,2,50.0
kamer,1850,2,0.0
zanger,1850,2,50.0
bulp,1850,2,50.0
roster,1850,6,16.667
lotex,1850,2,0.0
bode,1850,2,0.0
meter»,1850,2,50.0
sluiter,1850,2,0.0
molenaar,1850,2,0.0
boekhandelaar,1850,548,31.387
nooger,1850,8,37.5
jknecht,1850,34,26.471
knecht,1850,8,50.0
huisknecht,1850,8,62.5
stoker,1850,4,25.0
boodschapper,1850,8,25.0
boekbinder,1850,8,62.5
melker,1850,2,50.0
zomer,1850,4,50.0
hoofdonderwijzer,1850,2,50.0
slachter,1850,2,0.0
graveur,1850,2,50.0
ligger,1850,10,10.0
portiers,1850,2,0.0
candidaat,1850,2,50.0
beerman,1850,2,50.0
irocureur,1850,2,0.0
hoeder,1850,20,40.0
verver,1850,8,25.0
smid,1850,12,33.333
jloten,1850,2,50.0
hnlp,1850,2,0.0
voorman,1850,4,50.0
hniswerk,1850,54,24.074
gruyter,1850,2,0.0
meier,1850,36,19.444
kraner,1850,2,50.0
apothekersbediende,1850,26,34.615
handelaar,1850,2,50.0
onderwijser,1850,68,36.765
geestelijke,1850,2,0.0
kramer,1850,4,50.0
kelder,1850,2,50.0
jongren,1850,6,33.333
gesel,1850,26,38.462
reisbediende,1850,2,50.0
ileer,1850,4,50.0
oppasser,1850,8,37.5
oofd,1850,6,0.0
kuiper,1850,4,50.0
schaver,1850,4,50.0
secondant,1850,10,30.0
smidskneoht,1850,8,50.0
koetsieb,1850,6,33.333
yroedmeester,1850,4,0.0
dameskapper,1850,2,50.0
geneesheer,1850,2,50.0
onderwijzer,1850,104,28.846
waardin,1850,24,33.333
uitgevers,1850,2,0.0
compagnon,1850,4,50.0
dienßt,1850,2,50.0
baron,1850,2,0.0
waardis,1850,4,0.0
sidder,1850,2,50.0
bouwkunde,1850,2,50.0
binnenvader,1850,2,50.0
kok,1850,8,12.5
vervaardiger,1850,4,25.0
kuipeb,1850,6,33.333
zaalbediende,1850,2,50.0
schilders,1850,2,50.0
hoer,1850,34,44.118
timmerman,1850,2,50.0
winkelbediende,1850,18,50.0
metselaar,1850,6,33.333
loter,1850,4,0.0
liender,1850,4,50.0
hootd,1850,24,50.0
dragonder,1850,2,50.0
kachelmaker,1850,2,50.0
hechter,1850,4,25.0
bezorger,1850,4,25.0
maaier,1850,4,0.0
kostschoolhouder,1850,12,58.333
voorzitter,1850,2,50.0
zolde,1850,2,0.0
gouvernante,1850,14,21.429
huurder,1850,2,50.0
steller,1850,18,11.111
bienstbode,1850,32,37.5
voermansknecht,1850,2,0.0
grofsmid,1850,2,50.0
aent,1850,4,25.0
voller,1850,20,35.0
acent,1850,6,50.0
persknecht,1850,4,75.0
kler,1850,30,23.333
commiseionnair,1850,2,50.0
hesr,1850,2,0.0
notaria,1850,42,23.81
apotheek,1850,74,45.946
parfumeur,1850,2,50.0
visseb,1850,4,0.0
drukker,1850,48,31.25
studenten,1850,16,25.0
loofd,1850,4,50.0
makelaa,1850,10,40.0
eindermeisje,1850,2,50.0
bediende,1850,24,41.667
wagenaar,1850,2,0.0
jongen,1850,36,30.556
dkukker,1850,4,0.0
heerw,1850,2,50.0
lapper,1850,8,37.5
pikeur,1850,2,50.0
pettenmaker,1850,2,50.0
hear,1850,2,50.0
practizijn,1850,2,0.0
gouverneur,1850,10,30.0
jager,1850,16,18.75
papierhandelaar,1850,6,0.0
bonne,1850,6,0.0
lettergieter,1850,2,100.0
verpleger,1850,4,25.0
raron,1850,2,0.0
dekkeh,1850,2,50.0
reiziger,1850,28,35.714
leider,1850,10,10.0
trekker,1850,2,50.0
uitgever,1850,14,35.714
heester,1850,8,25.0
diplomaat,1850,4,0.0
behangersaffaire,1850,2,0.0
banketbakkerbediende,1850,4,0.0
tuinknecht,1850,4,75.0
slijper,1850,2,50.0
handwerker,1850,46,26.087
dienstbaar,1850,10,50.0
assistente,1850,36,30.556
bedlende,1850,2,50.0
diende,1850,10,30.0
werker,1850,28,32.143
aannemer,1850,4,0.0
matroos,1850,2,0.0
leerlinge,1850,6,33.333
eigenares,1850,4,0.0
huisbewaarders,1850,2,100.0
ondermeester,1850,92,47.826
boekhandelaarster,1850,2,50.0
mïn,1850,12,33.333
schepen,1850,12,33.333
vergulder,1850,4,0.0
adsistente,1850,48,18.75
tolontair,1850,2,0.0
chmist,1850,2,50.0
waarde,1850,4,25.0
booger,1850,4,0.0
jbediende,1850,226,36.726
waarnemer,1850,40,35.0
eamer,1850,14,14.286
zolder»,1850,4,75.0
bandelaar,1850,8,50.0
fabrikanten,1850,10,10.0
officier,1850,6,33.333
hooger,1850,4,25.0
duiker,1850,2,50.0
banketbakkers,1850,8,25.0
eentmeester,1850,2,0.0
meubelmaker,1850,4,50.0
waard,1850,32,28.125
kamep,1850,4,50.0
roeper,1850,2,0.0
geneeskundige,1850,2,0.0
leiden,1850,88,28.409
lienst,1850,370,34.324
bleëker,1850,2,50.0
noaris,1850,2,100.0
potter,1850,24,4.167
kinderj,1850,2,0.0
koekbakker,1850,6,16.667
mester,1850,2,0.0
depóthouder,1850,2,0.0
leesbibliotheekhouder,1850,4,25.0
getuig,1850,2,50.0
kantoorboekhandelaar,1850,8,37.5
meidk,1850,50,36.0
reder,1850,6,16.667
oommissionair,1850,4,25.0
administratieve,1850,16,18.75
wakers,1850,2,100.0
werkers,1850,2,0.0
ondornemer,1850,2,0.0
agent,1850,12,41.667
logementhouder,1850,2,50.0
barbier,1850,8,62.5
markeur,1850,2,0.0
pianomaker,1850,2,50.0
haer,1850,62,41.935
brikant,1850,2,50.0
predikaat,1850,14,0.0
chep,1850,6,16.667
bouwer,1850,24,16.667
godeputeerde,1850,2,0.0
kruidenier,1850,10,20.0
apothekor,1850,16,43.75
tolgaarder,1850,2,0.0
provisor,1850,2,100.0
teeraar,1850,4,50.0
schrijver,1850,46,21.739
secretario,1850,18,38.889
uilgever,1850,12,25.0
seconöant,1850,136,40.441
instituteur,1850,6,16.667
admimistrateur,1850,2,0.0
geneeskundigen,1850,6,50.0
dieaste,1850,2,50.0
jufvrouw,1850,12,25.0
ambtenares,1850,2,0.0
meid,1850,20,25.0
vuurwerker,1850,2,50.0
kolder,1850,4,50.0
pletter,1850,446,33.408
dunst,1850,6,0.0
coupenr,1850,2,0.0
ministerie,1850,2,50.0
leebling,1850,30,23.333
loods,1850,6,0.0
koetsier,1850,4,75.0
bakkee,1850,18,22.222
bakkersknecht,1850,8,50.0
dienst,1850,2,0.0
schout,1850,2,50.0
zaar,1850,226,14.602
hulp,1850,6,33.333
naaisteb,1850,2,0.0
hulponderwijzer,1850,12,41.667
eappersbediende,1850,2,50.0
weekmeid,1850,38,39.474
steendrukkerij,1850,6,33.333
directenr,1850,18,22.222
pakker,1850,2,50.0
ontvanger,1850,6,33.333
meester,1850,12,8.333
kostleerlinge,1850,2,0.0
keukenmeid,1850,104,43.269
grossier,1850,10,20.0
hoom,1850,68,44.118
particulier,1850,2,50.0
dokker,1850,2,50.0
eigenaar,1850,8,12.5
kosteb,1850,2,50.0
dogtor,1850,6,33.333
buiter,1850,2,0.0
kargadoor,1850,2,50.0
notans,1850,2,50.0
dienstmeisje,1850,2,50.0
ontvangeb,1850,56,12.5
werksters,1850,10,20.0
gezelschapsjuffrouw,1850,2,0.0
garneerder,1850,2,50.0
meesterknecht,1850,10,60.0
ambachtsman,1850,2,0.0
graaf,1850,26,30.769
boer,1850,2,50.0
dierst,1850,22,0.0
industrieele,1850,2,0.0
vuller,1850,2,50.0
godgeleerde,1850,8,0.0
di«nste,1850,4,0.0
ioten,1850,6,33.333
drogist,1850,4,25.0
kapper,1850,6,0.0
boerenwerk,1850,6,33.333
diste,1850,4,25.0
fetuigen,1850,74,28.378
scheepsmakelaar,1850,2,0.0
wijnhandelaar,1850,4,50.0
graver,1850,2,0.0
kernen,1850,6,0.0
ijker,1850,16,6.25
diensmaagd,1850,2,0.0
confectie,1850,6,50.0
tuinman,1850,12,16.667
passer,1850,2,0.0
verdediger,1850,2,0.0
bijker,1850,2,0.0
koloniaal,1850,4,0.0
boekbindersknecht,1850,2,0.0
winkelaffaire,1850,6,0.0
bestuurder,1850,4,25.0
voorzanger,1850,4,0.0
pastoor,1850,6,16.667
arbeider,1850,6,0.0
strijker,1850,16,31.25
voeger,1850,74,25.676
dienstbode,1850,10,50.0
regent,1850,10,20.0
winkeldochter,1850,44,15.909
tavernier,1850,4,0.0
veldwachteb,1850,2,50.0
graai,1850,14,35.714
