list_issues,list_artid,img_url
ddd:010262940:mpeg21,ddd:010262940:mpeg21:a0031,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010262940:mpeg21:p003:image&x=169&y=3820&w=500&h=73
MMHCO01:000065484:mpeg21,MMHCO01:000065484:mpeg21:a0012,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065484:mpeg21:p004:image&x=150&y=3746&w=1020&h=1176
MMKB08:000089130:mpeg21,MMKB08:000089130:mpeg21:a0021,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000089130:mpeg21:p004:image&x=1017&y=393&w=862&h=195
MMCODA02:000184124:mpeg21,MMCODA02:000184124:mpeg21:a0012,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMCODA02:000184124:mpeg21:p004:image&x=1037&y=598&w=946&h=3730
MMDA03:000093927:mpeg21,MMDA03:000093927:mpeg21:a0014,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMDA03:000093927:mpeg21:p003:image&x=2110&y=1073&w=949&h=270
MMSAVL02:000422014:mpeg21:p,MMSAVL02:000422014:mpeg21:a00015,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMSAVL02:000422014:mpeg21:p00004:image&x=2474&y=119&w=1010&h=2449
ddd:010097934:mpeg21,ddd:010097934:mpeg21:a0034,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010097934:mpeg21:p003:image&x=3986&y=5138&w=718&h=56
ddd:011101417:mpeg21,ddd:011101417:mpeg21:a0008,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:011101417:mpeg21:p004:image&x=2838&y=4638&w=880&h=38
ddd:011194081:mpeg21,ddd:011194081:mpeg21:a0009,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:011194081:mpeg21:p004:image&x=2401&y=1455&w=913&h=3054
ddd:010156424:mpeg21,ddd:010156424:mpeg21:a0013,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010156424:mpeg21:p003:image&x=283&y=398&w=433&h=51
